XUNITS,Concentration (M)
YUNITS,Fraction Bound
Data
0.0,0.0198936146325
5.26315789474e-06,0.356732209615
1.05263157895e-05,0.484941755843
1.57894736842e-05,0.63712946198
2.10526315789e-05,0.7111153202
2.63157894737e-05,0.752957726714
3.15789473684e-05,0.73705699705
3.68421052632e-05,0.811543179011
4.21052631579e-05,0.810347300797
4.73684210526e-05,0.837026999827
5.26315789474e-05,0.833339348519
5.78947368421e-05,0.889490819557
6.31578947368e-05,0.839132601549
6.84210526316e-05,0.879194062795
7.36842105263e-05,0.829880845574
7.89473684211e-05,0.874013907894
8.42105263158e-05,0.914673862602
8.94736842105e-05,0.912063381867
9.47368421053e-05,0.929265206196
0.0001,0.899696875059
