XUNITS,Concentration (M)
YUNITS,Fraction Bound
Data
1e-12,-0.00997525203363
1.57894746316e-05,0.01893449506
3.15789482632e-05,0.110536164838
4.73684218947e-05,0.170879959042
6.31578955263e-05,0.291288949465
7.89473691579e-05,0.394074494651
9.47368427895e-05,0.453773233718
0.000110526316421,0.517071707226
0.000126315790053,0.589987690583
0.000142105263684,0.678074880111
0.000157894737316,0.698227068382
0.000173684210947,0.727314534175
0.000189473684579,0.848137374038
0.000205263158211,0.854199464212
0.000221052631842,0.827240350645
0.000236842105474,0.818547719348
0.000252631579105,0.871727574446
0.000268421052737,0.851200317056
0.000284210526368,0.903828667515
0.0003,0.888354388931
