XUNITS,Concentration (M)
YUNITS,Fraction Bound
Data
0.0,-0.0277525067696
5.26315789474e-06,0.329309590039
1.05263157895e-05,0.510585907737
1.57894736842e-05,0.611097066038
2.10526315789e-05,0.708109155893
2.63157894737e-05,0.708428058487
3.15789473684e-05,0.763731726083
3.68421052632e-05,0.811873947698
4.21052631579e-05,0.808013809181
4.73684210526e-05,0.837197705439
5.26315789474e-05,0.839306015495
5.78947368421e-05,0.848043272086
6.31578947368e-05,0.861968533548
6.84210526316e-05,0.839712655498
7.36842105263e-05,0.858304684925
7.89473684211e-05,0.942339815459
8.42105263158e-05,0.889517301936
8.94736842105e-05,0.932554924689
9.47368421053e-05,0.879001575773
0.0001,0.993681665229
